8  LANGUAGE. LINGUISTICS. LITERATURE
821.112  West Germanic literatures (other than English)
821.112.2  German literature
821.112.5  Dutch literature
821.113  North Germanic, Nordic (Scandinavian) literatures
821.113.4  Danish literature
821.113.5  Norwegian literature
821.113.6  Swedish literature
821.12  Literature of Italic languages
821.124  Latin literature
821.13  Literature of Romance (Romanic) languages
821.131  Literature of Italo-Romance / Italo-Romanic languages
821.131.1  Italian literature
821.133  Literature of Gallo-Romance / Gallo-Romanic languages
821.133.1  French literature
821.134  Literature of Ibero-Romance / Ibero-Romanic) languages
821.134.1  Catalan literature
821.134.2  Spanish literature
821.134.3  Portuguese literature
821.135  Literature of Balkan Romance / Romanic languages
821.135.1  Romanian literature
821.14  Greek (Hellenic) literature
821.16  Literature of Slavic (Slavonic) languages
821.161  East Slavic / Slavonic literature
821.161.1  Russian literature
821.161.2  Ukrainian literature
821.161.3  Belarusian literature
821.162  West Slavic / Slavonic literatures
821.162.1  Polish literature
821.162.3  Czech literature
821.162.4  Slovakian literature
821.163  South Slavic / Slavonic literatures
821.163.2  Bulgarian literature
821.163.3  Macedonian literature
821.163.4  Serbian literature. Croatian literature
821.163.41  Serbian literature
821.163.42  Croatian literature
821.163.6  Slovenian literature
821.17  Literature of Baltic languages
821.172  Lithuanian literature
821.174  Latvian literature
821.18  Albanian literature
821.19  Armenian literature
821.21/.22  Literature of Indo-Iranian languages
821.21  Indic literatures
821.214  Literature of modern Indic languages
821.214.21  Hindi literature
821.214.32  Bengali (Bangla) literature
821.3  Literature of Caucasian languages. Literature of dead languages of unknown affiliation
821.353  South Caucasian (Kartvelian) literature
821.353.1  Georgian literature
821.4  Literature of Afro-Asiatic, Nilo-Saharan, Congo-Kordofanian, Khoisan languages
821.5  Literature of Ural-Altaic, Japanese, Korean, Ainu, Palaeo-Siberian, Eskimo-Aleut, Dravidian languages, Sino-Tibetan languages
821.51  Literature of Ural-Altaic languages
821.511  Literature of Uralic languages
821.511.1  Literature of Finno-Ugric languages
821.511.11  Literature of Finnic languages
821.511.111  Finnish literature
821.511.113  Estonian literature
821.511.14  Literature of Ugric languages
821.511.141  Hungarian literature
821.521  Japanese literature
821.58  Literature of Sino-Tibetan languages
821.581  Chinese literature
821.6  Literature of Austro-Asiatic languages. Austronesian literature
821.7  Literature of Indo-Pacific (non-Austronesian) languages. Australian (Aboriginal) literature
821.8  Literature of American indigenous languages (Amerindian literatures)
821.9  Literature in artificial languages
